products_model,categories_name,products_name,slug,image,products_description,,
A-343,Mother of God,Don,Don,A-343_Icon_Theotokos_Donskaya.png,Mother of God of the Don<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
A-176,Great Feast,Dormition of the Theotokos,Dormition-of-the-Theotokos,A-176-Icon-Dormition.png,"The <i>Dormition</i> icon belongs to the Great Feast set. Each of the icons in the Great Feast set when purchased individually are sold for the standard price of an 11 x 14 enlargement.  The entire set of Great Feast icons when purchased as a set comes with a discount.  <a href=""http://www.bostonmonks.com/product_info.php/products_id/898"">See here</a> for 11 x 14 <a href=""http://www.bostonmonks.com/product_info.php/products_id/145"">see here</a> for 8 x 10.
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/August/Aug-15/Dormition-Theotokos.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-377,D,Dorothy,Dorothy,A-377-Icon-St-Dorothea.png,"<b>Saint Dorothy</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/February/Feb-6/St-Dorothea-et-al.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
M-495,Chains,"Double Link Silver Chain,  20 inches",Double-Link-Silver-Chain--20-inches,doublelink.jpg,<b>Double Link Silver Chain&mdash,20 inches</b><br /> <em>available in silver only</em>,
M-496,Chains,"Double Link Silver Chain,  24 inches",Double-Link-Silver-Chain--24-inches,doublelink.jpg,<b>Double Link Silver Chain&mdash,24 inches</b><br /> <em>available in silver only</em>,
J-22,Vigil Lamps,Early Christian Lamp,Early-Christian-Lamp,j022.jpg,"Handmade imported. Heavy gauge metal with cut-outs depicting birds and fishes.
<br />
Can hold a glass that is 2-&frac12; inches diameter at the base.
<p>
Measures 5-1/8 inches across. Chains are 22 inches long. About 28 inches tall overall.
<p>
The lamp will hold the following glasses: 
<br />
<ul>
<li><a href=""product_info.php?products_id=858"">Small Ruby</a></li>
<li><a href=""product_info.php?cPath=47&products_id=859"">Medium Ruby</a>    (The lamp is pictured with this glass.)</li>
<li><a href=""product_info.php?products_id=864"">Small Cobalt</a></li>
<li><a href=""product_info.php?products_id=863"">Medium Cobalt</a></li>
<li><a href=""product_info.php?products_id=861"">Ruby Thistle</a></li>
<li><a href=""product_info.php?products_id=857"">Cobalt Thistle</a></li>
</ul>

<i>glass not included</i>",,
A-297,E,Edward,Edward,A-297-St-Edward.png,"<b>Saint Edward</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/March/Mar-18/St-Edward-the-King.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-301,Mother of God,"Eleousa (""The Merciful"")",Eleousa,A-301_Icon_Theotokos_Eleousa.png,<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
A-48,E,Eleutherius,Eleutherius,A-48-Icon-St-Eleutherius.png,"<b>Saint Eleutherius</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-15/St-Eleutherius.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-47,E,Elias,Elias,A-47-Icon-Prophet-Elias.png,"<b>Holy Prophet Elias</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/July/Jul-20/Prophet-Elias.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-347,E,"Elias, Ascent",Elias-Ascent,A-347-Icon-St-Elias-Ascent.png,"<b>Ascent of Prophet Elias</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/July/Jul-20/Prophet-Elias.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-49,E,Elizabeth,Elizabeth,A-49_Icon_St_Elizabeth.png,<b>Saint Elizabeth</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
A-200,E,Elizabeth the New Martyr,Elizabeth-the-New-Martyr,A-200-Icon-St-Elizabeth-Grand-Duchess.png,"<b>Saint Elizabeth the New Martyr of Russia</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/July/Jul-5/ss-elizabeth-and-barbara.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-388,E,Emily,Emily,A-388_Icon_St_Emmelia.png,<b>St Emily</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
A-4,Christ,Emmanuel,Emmanuel,A-4_Emmanuel.png,<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
A-252,Christ,Emmanuel with English Scroll,Emmanuel-with-English-Scroll,A-252_Christ_Emmanuel.png,<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
A-165,Great Feast,Encounter of our Saviour in the Temple,Encounter-of-our-Saviour-in-the-Temple,A-165-Icon-of-Meeting-in-Temple.png,"The <i>Encounter of our Saviour</i> icon belongs to the Great Feast set. Each of the icons in the Great Feast set when purchased individually are sold for the standard price of an 11 x 14 enlargement.  The entire set of Great Feast icons when purchased as a set comes with a discount.  <a href=""http://www.bostonmonks.com/product_info.php/products_id/898"">See here</a> for 11 x 14 <a href=""http://www.bostonmonks.com/product_info.php/products_id/145"">see here</a> for 8 x 10.
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/February/Feb-2/Meeting-in-the-Temple.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-221,Christ,"Enthroned, by Kontoglou",Enthroned-by-Kontoglou,A-221_Icon_Christ_Enthroned_by_Kontoglou.png,<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
A-273,Christ,"Enthroned, by Kontoglou",A-273-Enthroned-by-Kontoglou,Enthroned_by_Kontoglou.jpg,<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
A-162,Great Feast,Entrance of the Theotokos into the Temple,Entrance-of-the-Theotokos-into-the-Temple,A-162_Entry.png,"The <i>Entrance of the Theotokos</i> icon belongs to the Great Feast set. Each of the icons in the Great Feast set when purchased individually are sold for the standard price of an 11 x 14 enlargement.  The entire set of Great Feast icons when purchased as a set comes with a discount.  <a href=""http://www.bostonmonks.com/product_info.php/products_id/898"">See here</a> for 11 x 14 <a href=""http://www.bostonmonks.com/product_info.php/products_id/145"">see here</a> for 8 x 10.
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-21/Theotokos-Entry-Into-Temple.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-169,Great Feast,Entry into Jerusalem (Palm Sunday),Entry-into-Jerusalem-Palm-Sunday,A-169-Icon-Palm-Sunday.png,"The <i>Entry into Jerusalem</i> icon belongs to the Great Feast set. Each of the icons in the Great Feast set when purchased individually are sold for the standard price of an 11 x 14 enlargement.  The entire set of Great Feast icons when purchased as a set comes with a discount.  <a href=""http://www.bostonmonks.com/product_info.php/products_id/898"">See here</a> for 11 x 14 <a href=""http://www.bostonmonks.com/product_info.php/products_id/145"">see here</a> for 8 x 10.
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Feasts-and-Saints-of-the-Day/Triodion/palm-sunday.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-50,E,Ephraim the Syrian,Ephraim-the-Syrian,A-50-Icon-St-Ephraim-the-Syrian.png,"<b>Saint Ephraim the Syrian&mdash;by Kontoglou</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-28/St-Ephraim-the-Syrian.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-453,E,Esther the Queen,Esther-the-Queen,A453_St_Esther_the_Queen.png,"<b>St. Esther the Queen</b>
<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>",,
L-40,Natural Frankincense,Ethiopian Frankincense,Ethiopian-Frankincense,L040-Ethiopian.jpg,Most frankincense comes from Ethiopia. The best grade burns with a light lemon fragrance. We import this directly from Ethiopia and use it as the base for all of our incense.,,
A-362,E,Eudocia,Eudocia,A-362-St-Eudocia.png,"<b>Saint Eudocia</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/March/Mar-1/St-Eudocia.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-197,E,Eugenia,Eugenia,A-197-Icon-St-Eugenia.png,"<b>Saint Eugenia</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-24/St-Eugenia.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-51,E,Euphrosynus the Cook,Euphrosynus-the-Cook,A-51-Icon-St-Euphrosynus-the-Cook.png,"<b>Saint Euphrosynus the Cook</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/September/Sept-11/St-Euphrosynus-the-Cook.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-53,E,Eustathius and Family,Eustathius-and-Family,A-53_St_Eustathius_and_Family.png,"<b>Saint Eustathius and his Family</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/September/Sept-20/st-eustathius.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-52,E,Eustathius the Great Martyr,Eustathius-the-Great-Martyr,A-52_St_Eusthathius.png,"<b>Saint Eustathius the Great Martyr</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/September/Sept-20/st-eustathius.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-54,E,Euthymius,Euthymius,A-54-Icon-St-Euthymius-the-Great.png,"<b>Saint Euthymius</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-20/St-Euthymius-the-Great.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-55,E,"Euthymius, Ignatius, & Acacius",Euthymius-Ignatius-and-Acacius,A-55-Icon-Three-New-Martyrs-Athos.png,"<b>Saints Euthymius Ignatius and Acacius</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/May/May-1/ss-euthymius-ignatius-acacius.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-177,Great Feast,Exaltation of the Cross,Exaltation-of-the-Cross,A-177_Exaltation.png,"The <i>Exaltation</i> icon belongs to the Great Feast set. Each of the icons in the Great Feast set when purchased individually are sold for the standard price of an 11 x 14 enlargement.  The entire set of Great Feast icons when purchased as a set comes with a discount.  <a href=""http://www.bostonmonks.com/product_info.php/products_id/898"">See here</a> for 11 x 14 <a href=""http://www.bostonmonks.com/product_info.php/products_id/145"">see here</a> for 8 x 10.
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/September/Sept-14/exaltation-cross.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-178,Great Feast,Extreme Humility,Extreme-Humility,A-178-Icon-Extreme-Humility.png,"The <i>Extreme Humility</i> icon belongs to the Great Feast set. Each of the icons in the Great Feast set when purchased individually are sold for the standard price of an 11 x 14 enlargement.  The entire set of Great Feast icons when purchased as a set comes with a discount.  <a href=""http://www.bostonmonks.com/product_info.php/products_id/898"">See here</a> for 11 x 14 <a href=""http://www.bostonmonks.com/product_info.php/products_id/145"">see here</a> for 8 x 10.
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>",,
A-422,Menaion,February,February,A422_February_Menaion_Icon.png,"<p>The <i>February</i> icon belongs to the Menaion set. Each of the icons in the Menaion set when purchased individually are sold for the standard price of an 11 x 14 enlargement. The entire set of Great Feast icons when purchased as a set comes with a discount. See <a href=""https://www.bostonmonks.com/product_info.php/cPath/27_33/products_id/354"">here</a> for the full set.</p>
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>",,
A-366,Christ,Flight into Egypt,Flight-into-Egypt,A-366-Icon-Flight-into-Egypt.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-26/Synaxis-Theotokos.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-406,Christ,Forgiving the Sinful Woman,Forgiving-the-Sinful-Woman,A-406-Icon-Christ-Forgiving-Sinful-Woman.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Feasts-and-Saints-of-the-Day/Triodion/holy-wednesday.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-157,F,Forty Martyrs of Sebastia,Forty-Martyrs-of-Sebastia,A-157-Icon-Forty-Martyrs.png,"<b>Holy Forty Martyrs of Sebastia</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/March/Mar-9/Forty-Martyrs-Sebastia.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-375,F,Frumentius,Frumentius,A-375-Icon-St-Frumentius.png,"<b>Saint Frumentius of Ethiopia</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-30/St-Frumentius.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-56,G,Gabriel,Gabriel,A-56-Icon-Archangel-Gabriel.png A-93-A-56_Archangels-Michael-and-Gabriel-Set.png,"<b>Archangel Gabriel</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>This icon together with <a href=""product_info.php/products_id/357"">Archangel Michael</a> (sold separately) make a matching set.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-8/Synaxis-Archangels.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
L-4,I (Good Incense),Gardenia,Gardenia,L004-Gardenia.jpg,The rich and complex fragrance of gardenia blossoms.,,
J-30,Fragrant Oils,Gardenia Oil,Gardenia-Oil,j030.jpg,,,
A-402,G,Genevieve of Paris,Genevieve-of-Paris,A-402-Icon-St-Genevieve.png,"<b>Saint Genevieve of Paris</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-3/St-Genevieve-of-Paris.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-387,G,George & Demetrius,George-and-Demetrius,A-387_Icon_Sts_George_and_Demetrius.png,"<Saints George and Demetrius</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See www.tyoos.org about <a href=""http://tyoos.org/Lives-of-Saints/April/Apr-23/Holy-Great-Martyr-George.html"" target=""_blank"">St. George</a> and <a href=""http://tyoos.org/Lives-of-Saints/October/Oct-26/St-Demetrius.html"" target=""_blank"">St. Demetrius</a>.</p>",,
A-155,G,George�by Kontoglou,George-by-Kontoglou,A-155_Icon_St_George_by_Kontoglou.png,"<b>Saint George&mdash;by Kontoglou</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/April/Apr-23/Holy-Great-Martyr-George.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
D-30,G,"George, by Kontoglou lithographed print (5-� x 7)",George-by-Kontoglou-lithographed-print,George-by_Kontoglou.jpg, ,,
D-31,G,George�by Kontoglou lithographed print (wallet size),George-by-Kontoglou-wallet-size,George-by_Kontoglou.jpg,<p>Printed in red and black throughout.</p>,,
A-253,G,George�full stature,George-full-stature,A-253_Icon_St_George.png,"<b>Saint George&mdash;full stature</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/April/Apr-23/Holy-Great-Martyr-George.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-211,G,George of Ioannina,George-of-Ioannina,A-211-St-George-of-Ioannina.png,"<b>Saint George of Ioannina</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-17/St-George-of-Ioannina.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-160,G,George on a Horse,George-on-a-Horse,A-160_Icon_St_George_on_Horse.png,"<b>Saint George on a Horse</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>

 <p>See <a href=""http://tyoos.org/Lives-of-Saints/April/Apr-23/Holy-Great-Martyr-George.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-57,G,George on a Horse,George-on-a-Horse-bilingual,A-57_Icon_St_George_horseback.png,"<b>Saint George on a Horse</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/April/Apr-23/Holy-Great-Martyr-George.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
D-90,G,George on a Horse lithographed print,George-on-a-Horse-lithographed-print,George_on_a_Horse.jpg,"<b>Saint George on a Horse lithographed print</b>
<br />
5-&frac14; x 6 inches<br />
<p>See <a href=""http://tyoos.org/Lives-of-Saints/April/Apr-23/Holy-Great-Martyr-George.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-58,G,George with life,George-with-life,A-58-Icon-St-George.png,"<b>Saint George with Life</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/April/Apr-23/Holy-Great-Martyr-George.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
M-245,Baptismal Crosses,Georgian Cross,Georgian-Cross,m245.jpg,"<!-- m245 georgian cross -->
<b><sup>5</sup>&#8260;<sub>8</sub> x <sup>3</sup>&#8260;<sub>4</sub> inches</b>
<p />
<!-- 
Happi Multi Pix Happi-1: This makes one extra view pushes graphic as far right as possible.
Thumb is sized at height of 80 to match the other graphic's height. 
// -->
<SCRIPT LANGUAGE=""JavaScript"" type=""text/javascript"">
  <!--
    function ShowPopup(pagenameoptions)
    {
    Window = window.open(pagenameoptions);
    }
// -->
</SCRIPT>

<TABLE WIDTH=""100%"" BORDER=0 CELLSPACING=6 CELLPADDING=6>

  <TR>
  <TD width=""85%"">
  </TD>
  <TD align=""center"">
  <a href=""javascript:;"" onClick=""ShowPopup('/catalog/images/m245-back.jpg''popup''resizable=yeswidth=800height=600');"">
  <img src=""/catalog/images/m245-back.jpg"" width=""51"" height=""80"" border=""0""></a>
  </TD>
  </TR>

  <TR>
  <TD width=""85%"">
  </TD>
  <TD align=""center""> 
  <font face=""Georgia"" size=""1"">Back</font>
  </TD>
  </TR> 

</TABLE>",,
A-379,G,Gerasimus of Cephalonia,Gerasimus-of-Cephalonia,A-379_St_Gerasimus_Cephalonia.png,"<b>Saint Gerasimus of Cephalonia</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/October/Oct-20/st-gerasimus-cephalonia.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-344,G,Gerasimus of Jordan,Gerasimus-of-Jordan,A-344-Icon-St-Gerasimus-Jordan.png,"<b>Saint Gerasimus of Jordan</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/March/Mar-4/St-Gerasimus-of-the-Jordan.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
L-5,I (Good Incense),Gethsemane,Gethsemane,L005-Gethsemane.jpg,<p>A unique combination of floral and spice fragrances developed by the monastery.</p>,,
M-243,Baptismal Crosses,Golgotha Russian Baptismal Cross,Golgotha-Russian-Baptismal-Cross,m243.jpg,<b>1-<sup>1</sup>&#8260,<sub>8</sub> x 1-<sup>5</sup>&#8260,<sub>8</sub> inches</b>
A-198,Christ,Good Shepherd,Good-Shepherd,A-198_Icon_Christ_Good_Shepherd.png,<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
M-23,Liturgical Items,Gospel Cover,Gospel-Cover,m023.jpg,,,
G-27,Great Feast,"Great Feast Set, large",Great-Feast-Set-large,gfset.jpg,"<STYLE TYPE=""text/css"">
<!--
.gftable .gftable td
   {
   border:0;
   font-size:10pt;
   padding-right: 1em;
   }
 -->
</STYLE>
<p />
<b>Each icon in the set is 14 inches tall and mounted on wood.</b>
<p />
<table border class=\""gftable\"">
<caption><b>Complete Set of the 18 Great Feast Icons</b></caption>
<tr><td>G-001 Birth of the Theotokos</td><td>G-010 Crucifixion</td></tr>
<tr><td>G-002 Entrance of the Theotokos</td><td> G-011 Resurrection</td></tr>
<tr><td>G-003 Annunciation </td><td>G-012 Myrrh-bearers </td></tr>
<tr><td>G-004 Nativity of Christ </td><td>G-013 Thomas Sunday </td></tr>
<tr><td>G-005 Encounter of our Saviour in the Temple </td><td>G-014 Ascension </td></tr>
<tr><td>G-006 Baptism of our Saviour </td><td>G-015 Pentecost </td></tr>
<tr><td>G-007 Transfiguration </td><td>G-016 Dormition of the Theotokos </td></tr>
<tr><td>G-008 Raising of Lazarus </td><td>G-017 Exaltation of the Holy Cross </td></tr>
<tr><td>G-009 Entry into Jerusalem </td><td>G-018 Extreme Humility</td></tr>
</table>
<p />",,
G-33,Great Feast,"Great Feast Set, small",Great-Feast-Set-small,gfset.jpg,"<STYLE TYPE=""text/css"">
<!--
.gftable .gftable td
   {
   border:0;
   font-size:10pt;
   padding-right: 1em;
   }
 -->
</STYLE>
<p />
<b>Each icon in the set is 10 inches tall and mounted on wood.</b>
<p />

<table border class=""gftable"">
<caption><b>Complete Set of the 18 Great Feast Icons</b></caption>
<tr><td>A-161 Birth of the Theotokos</td><td>A-170 Crucifixion</td></tr>
<tr><td>A-162 Entrance of the Theotokos</td><td> A-171 Resurrection</td></tr>
<tr><td>A-163 Annunciation </td><td>A-172 Myrrh-bearers </td></tr>
<tr><td>A-164 Nativity of Christ </td><td>A-173 Thomas Sunday </td></tr>
<tr><td>A-165 Encounter of our Saviour in the Temple </td><td>A-174 Ascension </td></tr>
<tr><td>A-166 Baptism of our Saviour </td><td>A-175 Pentecost </td></tr>
<tr><td>A-167 Transfiguration </td><td>A-176 Dormition of the Theotokos </td></tr>
<tr><td>A-168 Raising of Lazarus </td><td>A-177 Exaltation of the Holy Cross </td></tr>
<tr><td>A-169 Entry into Jerusalem </td><td>A-178 Extreme Humility </td></tr>
</table>
<p />",,
A-294,Christ,Great High Priest,Great-High-Priest,A-294_Icon_Christ_Great_High_Priest.png,"<b>The King of Kings and Great High Priest</b>
<p>The left hand page reads ""My kingdom is not of this world: if my kingdom were of this world...""  The right hand page reads: ""Take eat: this is my body; which is broken for you for the remission of sins.""</p>
<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>",,
B-58,Monastery,"Great Horologion, Volume One",Great-Horologion-Volume-One,B-058-CroppedWithNote-alpha.png B-058-Great-Horologion-CroppedSm.png,"<b>The Great Horologion Volume One</b>
<p><i>Translated from the Greek by the Holy Transfiguration Monastery. Revised Second Edition 2020.<br />
Hard-cover binding. 392 pages 2-color printing. 7&#8288;-&#8288;1/2 x 12 inches.<br /></i>
In church or at home <i>The Great Horologion</i> is indispensable for the divine services. 
Printed in black and red throughout in large format for easy reading in church in the same typeface in the same size printed on the same acid-free Mohawk Vellum paper  as the <i>Menaion Pentecostarion Octoëchos</i> and <i>Holy Week</i>.</p>

<p><i>Part One</i> provides the order of services with complete texts and Lenten variants for the Midnight Service Matins the Hours Vespers Small and Great Compline.<br />
<i>Part Two</i> contains the Troparia of the Resurrection in the Eight Tones Troparia for Weekdays and Theotokia; the Katavasiae for the Seasons of the year; and the Eclogarion which contains the psalmic selections used for the Polyeleos.<br />
<i>Part Three</i> contains Akathists to our Saviour the Theotokos and the Cross; Supplicatory Canons to our Saviour the Theotokos the Guardian Angel and to the Angels and All Saints; and the Communion Prayers.</p>

<p>See also <a href=""/product_info.php/products_id/993"">Volume Two</a>.</p>

<p>Download a <a href=""/pdfs/Horologion-Volume-One-Table-of-Contents.pdf"">PDF</a> of the Table of Content of Volume One.<br />
Download a <a href=""/pdfs/Horologion-Volume-One-Note-on-Second-Edition.pdf"">PDF</a> of the “Note to the Second Edition” explaining how it differs from the first edition printed in 1997.</p>",,
